,system,target,server,fastbest,small,replication,time_compress,size_compress
0,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,0,0,493.324,295663934
1,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,0,1,482.02,295663934
2,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,0,2,480.305,295663934
3,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,0,3,479.744,295663934
4,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,0,4,479.987,295663934
5,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,0,5,481.353,295663934
6,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,0,6,480.028,295663934
7,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,0,7,479.841,295663934
8,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,0,8,478.716,295663934
9,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,0,9,479.119,295663934
10,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,1,0,493.647,295663934
11,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,1,1,480.903,295663934
12,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,1,2,481.283,295663934
13,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,1,3,478.475,295663934
14,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,1,4,478.371,295663934
15,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,1,5,478.497,295663934
16,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,1,6,485.885,295663934
17,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,1,7,483.972,295663934
18,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,1,8,481.141,295663934
19,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,1,1,9,479.234,295663934
20,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,0,0,471.411,279931654
21,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,0,1,474.677,279931654
22,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,0,2,472.658,279931654
23,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,0,3,472.891,279931654
24,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,0,4,473.889,279931654
25,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,0,5,479.267,279931654
26,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,0,6,475.172,279931654
27,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,0,7,471.11800000000005,279931654
28,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,0,8,470.592,279931654
29,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,0,9,470.833,279931654
30,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,1,0,478.293,279931654
31,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,1,1,477.24300000000005,279931654
32,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,1,2,477.245,279931654
33,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,2,1,3,478.643,279931654
