,system,target,server,fastbest,verify,lax,replay_gain,lpc_optimization,replication,time_compress,size_compress
0,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,0,0,139.434,636308800
1,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,0,1,77.715,636308800
2,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,0,2,75.87899999999998,636308800
3,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,0,3,75.645,636308800
4,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,0,4,76.367,636308800
5,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,0,5,74.72,636308800
6,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,0,6,78.898,636308800
7,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,0,7,75.122,636308800
8,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,0,8,75.654,636308800
9,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,0,9,75.464,636308800
10,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,1,0,80.108,636308800
11,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,1,1,80.46600000000002,636308800
12,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,1,2,79.729,636308800
13,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,1,3,80.801,636308800
14,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,1,4,80.556,636308800
15,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,1,5,80.939,636308800
16,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,1,6,80.21,636308800
17,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,1,7,79.995,636308800
18,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,1,8,83.07600000000002,636308800
19,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,0,1,9,81.369,636308800
20,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,0,0,213.297,636308990
21,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,0,1,146.933,636308990
22,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,0,2,147.028,636308990
23,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,0,3,149.406,636308990
24,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,0,4,146.991,636308990
25,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,0,5,146.328,636308990
26,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,0,6,147.28,636308990
27,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,0,7,147.504,636308990
28,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,0,8,155.662,636308990
29,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,0,9,148.56799999999996,636308990
30,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,1,0,154.067,636308990
31,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,1,1,152.298,636308990
32,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,1,2,152.185,636308990
33,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,1,3,156.042,636308990
34,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,0,1,1,4,222.477,636308990
