,system,target,server,fastbest,rsyncable,replication,time_compress,size_compress
0,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,0,112.817,378104089
1,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,1,90.787,378104089
2,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,2,88.98899999999998,378104089
3,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,3,85.445,378104089
4,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,4,83.411,378104089
5,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,5,86.786,378104089
6,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,6,84.62,378104089
7,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,7,85.288,378104089
8,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,8,84.93799999999997,378104089
9,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,9,84.902,378104089
10,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,0,84.76799999999999,378104089
11,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,1,85.74600000000002,378104089
12,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,2,83.383,378104089
13,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,3,82.851,378104089
14,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,4,82.199,378104089
15,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,5,82.126,378104089
16,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,6,129.445,378104089
17,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,7,82.934,378104089
18,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,8,83.729,378104089
19,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,0,9,82.255,378104089
20,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,1,0,110.842,385340666
21,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,1,1,109.92,385340666
22,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,1,2,110.114,385340666
23,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,1,1,3,110.729,385340666
