,system,target,server,fastbest,sparse,extreme,check_labels,check,replication,time_compress,size_compress
0,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc32,0,0,280.084,321261912
1,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc32,0,1,283.976,321261912
2,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc32,0,2,290.012,321261912
3,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc32,0,3,276.376,321261912
4,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc32,0,4,276.968,321261912
5,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc32,0,5,288.692,321261912
6,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc32,0,6,282.696,321261912
7,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc32,0,7,277.728,321261912
8,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc32,0,8,276.836,321261912
9,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc32,0,9,283.839,321261912
10,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc64,1,0,284.52,321261916
11,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc64,1,1,284.575,321261916
12,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc64,1,2,283.045,321261916
13,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc64,1,3,283.016,321261916
14,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc64,1,4,279.875,321261916
15,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc64,1,5,284.173,321261916
16,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc64,1,6,284.4,321261916
17,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc64,1,7,285.079,321261916
18,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc64,1,8,285.875,321261916
19,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,crc64,1,9,284.95,321261916
20,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,none,2,0,292.081,321261908
21,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,none,2,1,277.237,321261908
22,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,none,2,2,279.575,321261908
23,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,none,2,3,279.099,321261908
24,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,none,2,4,273.539,321261908
25,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,none,2,5,281.384,321261908
26,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,none,2,6,275.805,321261908
27,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,none,2,7,280.033,321261908
28,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,none,2,8,284.152,321261908
29,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,none,2,9,280.035,321261908
30,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,sha256,3,0,303.866,321261940
31,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,sha256,3,1,305.807,321261940
32,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,sha256,3,2,302.435,321261940
33,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,sha256,3,3,300.686,321261940
34,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,0,sha256,3,4,304.252,321261940
