,target,source_id,dest_id,predictor,transferer,train_size,transfer_size,metric_a,metric_b,POP,P,N,PP,PN,TP,FP,FN,TN,TPR,FPR,FNR,TNR,PPV,FDR,FOR,NPV,F1,MCC
0,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,3,3,time_compress,size_compress,18.0,7.0,11.0,6.2,11.8,2.4,3.8,4.6,7.2,0.34199999999999997,0.34500000000000003,0.658,0.655,0.422,0.5780000000000001,0.42700000000000005,0.5730000000000001,0.3844444444444444,-0.0010000000000000009
1,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,4,4,time_compress,size_compress,18.0,7.0,11.0,6.1,11.9,2.7,3.4,4.3,7.6,0.386,0.307,0.614,0.693,0.4640000000000001,0.536,0.384,0.616,0.403,0.078
2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,5,5,time_compress,size_compress,18.0,7.0,11.0,3.7,14.3,1.6,2.1,5.4,8.9,0.22999999999999998,0.19,0.7699999999999999,0.8099999999999999,0.45999999999999996,0.54,0.388,0.6119999999999999,0.36375,0.05800000000000001
3,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,6,6,time_compress,size_compress,18.0,7.0,11.0,4.6,13.4,1.7,2.9,5.3,8.1,0.24299999999999997,0.261,0.7569999999999999,0.739,0.35300000000000004,0.647,0.393,0.607,0.31222222222222223,-0.029999999999999992
4,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,7,7,time_compress,size_compress,18.0,7.0,11.0,4.9,13.1,2.8,2.1,4.2,8.9,0.39899999999999997,0.189,0.601,0.8109999999999999,0.598,0.40199999999999997,0.313,0.687,0.445,0.23600000000000004
5,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,8,8,time_compress,size_compress,18.0,7.0,11.0,5.7,12.3,3.4,2.3,3.6,8.7,0.48599999999999993,0.207,0.514,0.7929999999999999,0.592,0.40800000000000003,0.284,0.716,0.521,0.29100000000000004
6,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,9,9,time_compress,size_compress,18.0,7.0,11.0,5.5,12.5,3.4,2.1,3.6,8.9,0.485,0.189,0.5149999999999999,0.8109999999999999,0.568,0.43200000000000005,0.278,0.722,0.5766666666666667,0.29300000000000004
7,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,10,10,time_compress,size_compress,18.0,7.0,11.0,4.9,13.1,3.6,1.3,3.4,9.7,0.514,0.11699999999999999,0.48599999999999993,0.883,0.756,0.244,0.258,0.742,0.604,0.441
8,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,11,11,time_compress,size_compress,18.0,7.0,11.0,4.7,13.3,3.6,1.1,3.4,9.9,0.514,0.099,0.48599999999999993,0.901,0.768,0.23200000000000004,0.251,0.749,0.604,0.461
9,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,12,12,time_compress,size_compress,18.0,7.0,11.0,5.0,13.0,4.0,1.0,3.0,10.0,0.571,0.09,0.429,0.9099999999999999,0.8130000000000001,0.187,0.22600000000000003,0.774,0.661,0.527
