,target,source_id,dest_id,predictor,transferer,train_size,transfer_size,metric_a,metric_b,POP,P,N,PP,PN,TP,FP,FN,TN,TPR,FPR,FNR,TNR,PPV,FDR,FOR,NPV,F1,MCC
0,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,3,3,time_compress,size_compress,18.0,7.0,11.0,6.2,11.8,2.3,3.9,4.7,7.1,0.32799999999999996,0.354,0.6719999999999999,0.646,0.41200000000000003,0.588,0.42299999999999993,0.5770000000000001,0.3611111111111111,-0.021
1,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,4,4,time_compress,size_compress,18.0,7.0,11.0,6.1,11.9,2.1,4.0,4.9,7.0,0.301,0.362,0.699,0.638,0.32599999999999996,0.674,0.43200000000000005,0.568,0.4328571428571429,-0.082
2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,5,5,time_compress,size_compress,18.0,7.0,11.0,3.7,14.3,1.4,2.3,5.6,8.7,0.20099999999999998,0.20800000000000002,0.799,0.792,0.475,0.525,0.409,0.591,0.32875,0.018999999999999996
3,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,6,6,time_compress,size_compress,18.0,7.0,11.0,4.6,13.4,2.1,2.5,4.9,8.5,0.301,0.225,0.6990000000000001,0.775,0.47000000000000003,0.53,0.367,0.633,0.4,0.085
4,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,7,7,time_compress,size_compress,18.0,7.0,11.0,4.9,13.1,2.7,2.2,4.3,8.8,0.38499999999999995,0.198,0.615,0.8019999999999999,0.449,0.5509999999999999,0.316,0.6839999999999999,0.5842857142857143,0.168
5,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,8,8,time_compress,size_compress,18.0,7.0,11.0,5.7,12.3,3.3,2.4,3.7,8.6,0.471,0.21600000000000003,0.529,0.784,0.5730000000000001,0.42699999999999994,0.294,0.7060000000000001,0.5633333333333334,0.264
6,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,9,9,time_compress,size_compress,18.0,7.0,11.0,5.5,12.5,3.2,2.3,3.8,8.7,0.45699999999999996,0.207,0.5429999999999999,0.7929999999999999,0.581,0.41900000000000004,0.3,0.7,0.501,0.262
7,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,10,10,time_compress,size_compress,18.0,7.0,11.0,4.9,13.1,3.1,1.8,3.9,9.2,0.44399999999999995,0.162,0.5559999999999999,0.8380000000000001,0.643,0.35700000000000004,0.29500000000000004,0.705,0.516,0.30900000000000005
8,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,11,11,time_compress,size_compress,18.0,7.0,11.0,4.7,13.3,3.0,1.7,4.0,9.3,0.429,0.153,0.571,0.8470000000000001,0.5820000000000001,0.418,0.292,0.708,0.5422222222222222,0.28300000000000003
9,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,12,12,time_compress,size_compress,18.0,7.0,11.0,5.0,13.0,3.5,1.5,3.5,9.5,0.5,0.135,0.5,0.865,0.687,0.313,0.262,0.738,0.568,0.391
