,target,source_id,dest_id,predictor,transferer,train_size,transfer_size,metric_a,metric_b,POP,P,N,PP,PN,TP,FP,FN,TN,TPR,FPR,FNR,TNR,PPV,FDR,FOR,NPV,F1,MCC
0,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,3,3,time_compress,size_compress,144.0,8.0,136.0,29.2,114.8,1.9,27.3,6.1,108.7,0.23700000000000002,0.203,0.763,0.7969999999999999,0.06999999999999999,0.93,0.054000000000000006,0.946,0.14285714285714285,0.027000000000000003
1,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,4,4,time_compress,size_compress,144.0,8.0,136.0,26.5,117.5,1.3,25.2,6.7,110.8,0.162,0.185,0.8380000000000001,0.8150000000000001,0.025,0.975,0.055999999999999994,0.944,0.10250000000000001,-0.027000000000000003
2,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,5,5,time_compress,size_compress,144.0,8.0,136.0,30.4,113.6,2.8,27.6,5.2,108.4,0.34900000000000003,0.20400000000000001,0.651,0.796,0.127,0.873,0.047,0.953,0.178,0.10900000000000001
3,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,6,6,time_compress,size_compress,144.0,8.0,136.0,21.4,122.6,1.7,19.7,6.3,116.3,0.21200000000000002,0.14500000000000002,0.788,0.8550000000000001,0.08,0.9199999999999999,0.05,0.95,0.1542857142857143,0.044000000000000004
4,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,7,7,time_compress,size_compress,144.0,8.0,136.0,18.1,125.9,2.0,16.1,6.0,119.9,0.25,0.118,0.75,0.882,0.11699999999999999,0.883,0.049,0.951,0.18375,0.095
5,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,8,8,time_compress,size_compress,144.0,8.0,136.0,27.8,116.2,2.7,25.1,5.3,110.9,0.337,0.185,0.663,0.8150000000000001,0.11499999999999999,0.885,0.047,0.953,0.16499999999999998,0.1
6,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,9,9,time_compress,size_compress,144.0,8.0,136.0,21.1,122.9,1.9,19.2,6.1,116.8,0.23700000000000002,0.14100000000000001,0.763,0.859,0.1,0.9,0.05,0.95,0.14444444444444446,0.069
7,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,10,10,time_compress,size_compress,144.0,8.0,136.0,23.4,120.6,2.8,20.6,5.2,115.4,0.351,0.15,0.649,0.85,0.164,0.836,0.042,0.958,0.194,0.148
8,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,11,11,time_compress,size_compress,144.0,8.0,136.0,19.2,124.8,1.9,17.3,6.1,118.7,0.23700000000000002,0.128,0.763,0.8720000000000001,0.095,0.905,0.048,0.952,0.17714285714285713,0.072
9,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,12,12,time_compress,size_compress,144.0,8.0,136.0,21.3,122.7,3.0,18.3,5.0,117.7,0.376,0.134,0.624,0.866,0.146,0.8539999999999999,0.041,0.959,0.201,0.158
