,target,source_id,dest_id,predictor,transferer,train_size,transfer_size,metric_a,metric_b,POP,P,N,PP,PN,TP,FP,FN,TN,TPR,FPR,FNR,TNR,PPV,FDR,FOR,NPV,F1,MCC
0,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,3,3,time_compress,size_compress,144.0,10.0,134.0,29.2,114.8,2.4,26.8,7.6,107.2,0.24,0.201,0.76,0.799,0.077,0.923,0.067,0.933,0.18166666666666667,0.022000000000000002
1,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,4,4,time_compress,size_compress,144.0,10.0,134.0,26.5,117.5,1.9,24.6,8.1,109.4,0.19,0.182,0.8099999999999999,0.818,0.05,0.95,0.069,0.931,0.12166666666666666,-0.005999999999999998
2,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,5,5,time_compress,size_compress,144.0,10.0,134.0,30.4,113.6,3.3,27.1,6.7,106.9,0.32999999999999996,0.2,0.67,0.8,0.13799999999999998,0.8619999999999999,0.06,0.9400000000000001,0.184,0.1
3,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,6,6,time_compress,size_compress,144.0,10.0,134.0,21.4,122.6,2.0,19.4,8.0,114.6,0.2,0.14300000000000002,0.8,0.857,0.099,0.901,0.064,0.9359999999999999,0.15125,0.043
4,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,7,7,time_compress,size_compress,144.0,10.0,134.0,18.1,125.9,2.0,16.1,8.0,117.9,0.2,0.118,0.8,0.882,0.094,0.906,0.062,0.938,0.14625,0.053000000000000005
5,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,8,8,time_compress,size_compress,144.0,10.0,134.0,27.8,116.2,3.3,24.5,6.7,109.5,0.32999999999999996,0.182,0.67,0.818,0.133,0.867,0.05800000000000001,0.942,0.183,0.10300000000000001
6,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,9,9,time_compress,size_compress,144.0,10.0,134.0,21.1,122.9,2.3,18.8,7.7,115.2,0.22999999999999998,0.14100000000000001,0.77,0.859,0.213,0.787,0.063,0.9369999999999999,0.159,0.098
7,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,10,10,time_compress,size_compress,144.0,10.0,134.0,23.4,120.6,3.1,20.3,6.9,113.7,0.31,0.151,0.6900000000000001,0.849,0.183,0.817,0.057999999999999996,0.942,0.20299999999999999,0.134
8,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,11,11,time_compress,size_compress,144.0,10.0,134.0,19.2,124.8,2.2,17.0,7.8,117.0,0.22000000000000003,0.127,0.78,0.873,0.127,0.873,0.062,0.9380000000000001,0.16,0.074
9,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,12,12,time_compress,size_compress,144.0,10.0,134.0,21.3,122.7,3.5,17.8,6.5,116.2,0.35,0.132,0.65,0.868,0.16999999999999998,0.8300000000000001,0.052000000000000005,0.9480000000000001,0.22000000000000003,0.158
