,target,source_id,dest_id,predictor,transferer,train_size,transfer_size,metric_a,metric_b,POP,P,N,PP,PN,TP,FP,FN,TN,TPR,FPR,FNR,TNR,PPV,FDR,FOR,NPV,F1,MCC
0,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,3,3,time_compress,size_compress,18.0,9.0,9.0,5.0,13.0,3.0,2.0,6.0,7.0,0.332,0.221,0.6679999999999999,0.779,0.65,0.35,0.45999999999999996,0.54,0.389,0.15444444444444447
1,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,4,4,time_compress,size_compress,18.0,9.0,9.0,6.6,11.4,4.2,2.4,4.8,6.6,0.465,0.266,0.535,0.734,0.6769999999999999,0.323,0.42800000000000005,0.572,0.528,0.221
2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,5,5,time_compress,size_compress,18.0,9.0,9.0,5.5,12.5,3.7,1.8,5.3,7.2,0.41000000000000003,0.198,0.5900000000000001,0.8019999999999999,0.657,0.343,0.413,0.587,0.491,0.22599999999999998
3,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,6,6,time_compress,size_compress,18.0,9.0,9.0,5.3,12.7,3.3,2.0,5.7,7.0,0.36500000000000005,0.221,0.635,0.779,0.6890000000000001,0.311,0.454,0.546,0.46299999999999997,0.183
4,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,7,7,time_compress,size_compress,18.0,9.0,9.0,7.5,10.5,5.0,2.5,4.0,6.5,0.555,0.27599999999999997,0.445,0.724,0.683,0.317,0.374,0.626,0.6,0.29300000000000004
5,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,8,8,time_compress,size_compress,18.0,9.0,9.0,6.2,11.8,4.9,1.3,4.1,7.7,0.546,0.143,0.454,0.857,0.7929999999999999,0.207,0.34199999999999997,0.658,0.637,0.425
6,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,9,9,time_compress,size_compress,18.0,9.0,9.0,6.7,11.3,5.4,1.3,3.6,7.7,0.6020000000000001,0.143,0.398,0.857,0.842,0.158,0.318,0.682,0.689,0.48600000000000004
7,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,10,10,time_compress,size_compress,18.0,9.0,9.0,7.5,10.5,6.1,1.4,2.9,7.6,0.681,0.154,0.319,0.8460000000000001,0.8379999999999999,0.162,0.27,0.73,0.738,0.5439999999999999
8,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,11,11,time_compress,size_compress,18.0,9.0,9.0,5.8,12.2,5.5,0.3,3.5,8.7,0.6140000000000001,0.033,0.386,0.967,0.9550000000000001,0.045000000000000005,0.28200000000000003,0.718,0.737,0.622
9,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,12,12,time_compress,size_compress,18.0,9.0,9.0,7.2,10.8,6.1,1.1,2.9,7.9,0.681,0.121,0.319,0.8790000000000001,0.8480000000000001,0.152,0.261,0.7390000000000001,0.752,0.5700000000000001
10,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,13,13,time_compress,size_compress,18.0,9.0,9.0,7.0,11.0,6.6,0.4,2.4,8.6,0.7350000000000001,0.044,0.265,0.9560000000000001,0.944,0.05600000000000001,0.207,0.7929999999999999,0.819,0.712
11,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,14,14,time_compress,size_compress,18.0,9.0,9.0,7.2,10.8,6.8,0.4,2.2,8.6,0.758,0.044,0.242,0.9560000000000001,0.95,0.05,0.195,0.805,0.837,0.732
12,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,15,15,time_compress,size_compress,18.0,9.0,9.0,7.5,10.5,7.4,0.1,1.6,8.9,0.8240000000000001,0.011,0.176,0.9890000000000001,0.9879999999999999,0.012,0.15,0.85,0.898,0.8230000000000001
13,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,16,16,time_compress,size_compress,18.0,9.0,9.0,8.2,9.8,8.1,0.1,0.9,8.9,0.901,0.011,0.099,0.9890000000000001,0.9890000000000001,0.011,0.087,0.913,0.9410000000000001,0.8939999999999999
14,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,17,17,time_compress,size_compress,18.0,9.0,9.0,8.2,9.8,8.2,0.0,0.8,9.0,0.9120000000000001,0.0,0.088,1.0,1.0,0.0,0.078,0.922,0.952,0.914
15,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,18,18,time_compress,size_compress,18.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
16,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,3,3,time_compress,size_compress,18.0,9.0,9.0,4.7,13.3,3.4,1.3,5.6,7.7,0.376,0.14300000000000002,0.624,0.857,0.74,0.26,0.42000000000000004,0.58,0.5455555555555556,0.27
17,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,4,4,time_compress,size_compress,18.0,9.0,9.0,6.2,11.8,3.5,2.7,5.5,6.3,0.388,0.3,0.612,0.7,0.714,0.286,0.481,0.519,0.43599999999999994,0.143
18,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,5,5,time_compress,size_compress,18.0,9.0,9.0,5.8,12.2,3.6,2.2,5.4,6.8,0.4,0.24400000000000005,0.6,0.756,0.665,0.335,0.44699999999999995,0.553,0.479,0.183
19,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,6,6,time_compress,size_compress,18.0,9.0,9.0,7.2,10.8,4.6,2.6,4.4,6.4,0.512,0.28700000000000003,0.488,0.713,0.639,0.361,0.40499999999999997,0.595,0.557,0.22799999999999998
20,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,7,7,time_compress,size_compress,18.0,9.0,9.0,5.5,12.5,4.1,1.4,4.9,7.6,0.454,0.154,0.546,0.8460000000000001,0.794,0.20600000000000002,0.391,0.609,0.561,0.34500000000000003
21,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,8,8,time_compress,size_compress,18.0,9.0,9.0,6.4,11.6,4.9,1.5,4.1,7.5,0.546,0.16499999999999998,0.454,0.835,0.7889999999999999,0.211,0.34700000000000003,0.6529999999999999,0.629,0.40800000000000003
22,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,9,9,time_compress,size_compress,18.0,9.0,9.0,5.5,12.5,4.4,1.1,4.6,7.9,0.488,0.121,0.512,0.8790000000000001,0.8379999999999999,0.162,0.364,0.636,0.603,0.41400000000000003
23,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,10,10,time_compress,size_compress,18.0,9.0,9.0,5.1,12.9,4.5,0.6,4.5,8.4,0.5,0.066,0.5,0.9339999999999999,0.8969999999999999,0.10300000000000001,0.343,0.657,0.63,0.487
24,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,11,11,time_compress,size_compress,18.0,9.0,9.0,6.8,11.2,6.1,0.7,2.9,8.3,0.6799999999999999,0.077,0.32,0.923,0.899,0.101,0.248,0.752,0.766,0.623
25,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,12,12,time_compress,size_compress,18.0,9.0,9.0,6.7,11.3,6.0,0.7,3.0,8.3,0.669,0.077,0.331,0.923,0.909,0.091,0.259,0.741,0.76,0.617
26,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,13,13,time_compress,size_compress,18.0,9.0,9.0,6.4,11.6,6.1,0.3,2.9,8.7,0.681,0.033,0.319,0.967,0.96,0.04,0.242,0.758,0.7849999999999999,0.6799999999999999
27,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,14,14,time_compress,size_compress,18.0,9.0,9.0,7.6,10.4,7.2,0.4,1.8,8.6,0.8019999999999999,0.044,0.198,0.9560000000000001,0.9570000000000001,0.043,0.16099999999999998,0.8389999999999999,0.866,0.776
28,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,15,15,time_compress,size_compress,18.0,9.0,9.0,7.9,10.1,7.8,0.1,1.2,8.9,0.868,0.011,0.132,0.9890000000000001,0.9890000000000001,0.011,0.11499999999999999,0.885,0.923,0.8630000000000001
29,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,16,16,time_compress,size_compress,18.0,9.0,9.0,7.9,10.1,7.9,0.0,1.1,9.0,0.8790000000000001,0.0,0.121,1.0,1.0,0.0,0.10300000000000001,0.897,0.932,0.885
30,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,17,17,time_compress,size_compress,18.0,9.0,9.0,8.1,9.9,8.1,0.0,0.9,9.0,0.901,0.0,0.099,1.0,1.0,0.0,0.088,0.9120000000000001,0.946,0.9029999999999999
31,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,tree,18,18,time_compress,size_compress,18.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
