,target,source_id,dest_id,predictor,transferer,train_size,transfer_size,metric_a,metric_b,POP,P,N,PP,PN,TP,FP,FN,TN,TPR,FPR,FNR,TNR,PPV,FDR,FOR,NPV,F1,MCC
0,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,3,3,time_compress,size_compress,18.0,8.0,10.0,5.0,13.0,2.7,2.3,5.3,7.7,0.337,0.22999999999999998,0.663,0.77,0.599,0.40099999999999997,0.4077777777777778,0.5922222222222222,0.378,0.15333333333333335
1,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,4,4,time_compress,size_compress,18.0,8.0,10.0,6.6,11.4,3.8,2.8,4.2,7.2,0.476,0.28,0.524,0.72,0.611,0.38899999999999996,0.377,0.623,0.511,0.211
2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,5,5,time_compress,size_compress,18.0,8.0,10.0,5.5,12.5,3.2,2.3,4.8,7.7,0.4,0.22999999999999998,0.6,0.77,0.575,0.425,0.377,0.623,0.457,0.182
3,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,6,6,time_compress,size_compress,18.0,8.0,10.0,5.3,12.7,3.1,2.2,4.9,7.8,0.388,0.22000000000000003,0.612,0.78,0.659,0.341,0.392,0.608,0.47000000000000003,0.21000000000000002
4,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,7,7,time_compress,size_compress,18.0,8.0,10.0,7.5,10.5,4.4,3.1,3.6,6.9,0.5509999999999999,0.31,0.449,0.6900000000000001,0.593,0.40700000000000003,0.33199999999999996,0.6679999999999999,0.5589999999999999,0.25
5,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,8,8,time_compress,size_compress,18.0,8.0,10.0,6.2,11.8,4.5,1.7,3.5,8.3,0.561,0.16999999999999998,0.43899999999999995,0.8300000000000001,0.729,0.271,0.29,0.71,0.623,0.41200000000000003
6,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,9,9,time_compress,size_compress,18.0,8.0,10.0,6.7,11.3,4.9,1.8,3.1,8.2,0.61,0.18,0.39,0.82,0.778,0.22200000000000003,0.278,0.722,0.672,0.462
7,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,10,10,time_compress,size_compress,18.0,8.0,10.0,7.5,10.5,5.6,1.9,2.4,8.1,0.6990000000000001,0.19,0.301,0.8099999999999999,0.766,0.23399999999999999,0.223,0.7769999999999999,0.7230000000000001,0.525
8,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,11,11,time_compress,size_compress,18.0,8.0,10.0,5.8,12.2,4.8,1.0,3.2,9.0,0.599,0.1,0.40099999999999997,0.9,0.835,0.165,0.258,0.742,0.693,0.5349999999999999
9,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,12,12,time_compress,size_compress,18.0,8.0,10.0,7.2,10.8,5.4,1.8,2.6,8.2,0.674,0.18,0.32599999999999996,0.82,0.754,0.246,0.236,0.764,0.709,0.505
10,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,13,13,time_compress,size_compress,18.0,8.0,10.0,7.0,11.0,5.9,1.1,2.1,8.9,0.738,0.11000000000000001,0.262,0.89,0.844,0.156,0.181,0.819,0.781,0.642
11,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,14,14,time_compress,size_compress,18.0,8.0,10.0,7.2,10.8,6.0,1.2,2.0,8.8,0.749,0.12000000000000002,0.251,0.8800000000000001,0.8400000000000001,0.16,0.179,0.821,0.789,0.644
12,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,15,15,time_compress,size_compress,18.0,8.0,10.0,7.5,10.5,6.8,0.7,1.2,9.3,0.852,0.07,0.148,0.93,0.908,0.092,0.11099999999999999,0.889,0.877,0.787
13,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,16,16,time_compress,size_compress,18.0,8.0,10.0,8.2,9.8,7.1,1.1,0.9,8.9,0.89,0.11000000000000001,0.11000000000000001,0.89,0.869,0.131,0.087,0.913,0.876,0.778
14,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,17,17,time_compress,size_compress,18.0,8.0,10.0,8.2,9.8,7.4,0.8,0.6,9.2,0.9279999999999999,0.08,0.072,0.9199999999999999,0.907,0.093,0.05900000000000001,0.9410000000000001,0.915,0.8460000000000001
15,benchmark/targets/text/enwik9_10,BasicA0-japaneast,StandardF2sv2-westus2,tree,linear,18,18,time_compress,size_compress,18.0,8.0,10.0,9.0,9.0,8.0,1.0,0.0,9.0,1.0,0.1,0.0,0.9,0.89,0.11000000000000001,0.0,1.0,0.9399999999999998,0.89
