,target,source_id,dest_id,predictor,transferer,train_size,transfer_size,metric_a,metric_b,POP,P,N,PP,PN,TP,FP,FN,TN,TPR,FPR,FNR,TNR,PPV,FDR,FOR,NPV,F1,MCC
0,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,3,3,time_compress,size_compress,160.0,19.0,141.0,44.9,115.1,6.2,38.7,12.8,102.3,0.32599999999999996,0.274,0.674,0.726,0.145,0.8550000000000001,0.10700000000000001,0.893,0.173,0.037
1,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,4,4,time_compress,size_compress,160.0,19.0,141.0,36.7,123.3,4.2,32.5,14.8,108.5,0.221,0.231,0.779,0.7689999999999999,0.147,0.853,0.125,0.875,0.16333333333333333,0.0069999999999999975
2,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,5,5,time_compress,size_compress,160.0,19.0,141.0,31.4,128.6,4.9,26.5,14.1,114.5,0.259,0.188,0.741,0.8119999999999999,0.136,0.8640000000000001,0.10600000000000001,0.8939999999999999,0.20875,0.05
3,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,6,6,time_compress,size_compress,160.0,19.0,141.0,33.8,126.2,4.2,29.6,14.8,111.4,0.22199999999999998,0.21000000000000002,0.778,0.79,0.11699999999999999,0.883,0.11599999999999999,0.884,0.16,0.006
4,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,7,7,time_compress,size_compress,160.0,19.0,141.0,30.6,129.4,4.3,26.3,14.7,114.7,0.22600000000000003,0.185,0.774,0.8150000000000001,0.16799999999999998,0.8320000000000001,0.11400000000000002,0.8859999999999999,0.178,0.049
5,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,8,8,time_compress,size_compress,160.0,19.0,141.0,31.3,128.7,4.3,27.0,14.7,114.0,0.227,0.191,0.773,0.8089999999999999,0.118,0.882,0.11499999999999999,0.885,0.19,0.022
6,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,9,9,time_compress,size_compress,160.0,19.0,141.0,33.1,126.9,4.3,28.8,14.7,112.2,0.227,0.205,0.773,0.795,0.132,0.868,0.11599999999999999,0.884,0.153,0.020000000000000004
7,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,10,10,time_compress,size_compress,160.0,19.0,141.0,49.6,110.4,6.9,42.7,12.1,98.3,0.363,0.304,0.637,0.696,0.14300000000000002,0.857,0.10900000000000001,0.891,0.20299999999999999,0.041999999999999996
8,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,11,11,time_compress,size_compress,160.0,19.0,141.0,33.0,127.0,3.8,29.2,15.2,111.8,0.20099999999999998,0.20600000000000002,0.799,0.794,0.118,0.882,0.12,0.8800000000000001,0.15333333333333335,-0.003999999999999999
9,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,12,12,time_compress,size_compress,160.0,19.0,141.0,29.1,130.9,3.4,25.7,15.6,115.3,0.181,0.183,0.819,0.817,0.12,0.8800000000000001,0.122,0.8779999999999999,0.15333333333333335,-0.0009999999999999996
