,target,source_id,dest_id,predictor,transferer,train_size,transfer_size,metric_a,metric_b,POP,P,N,PP,PN,TP,FP,FN,TN,TPR,FPR,FNR,TNR,PPV,FDR,FOR,NPV,F1,MCC
0,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,3,3,time_compress,size_compress,160.0,20.0,140.0,44.9,115.1,6.0,38.9,14.0,101.1,0.3,0.27799999999999997,0.7,0.7220000000000001,0.13999999999999999,0.86,0.119,0.881,0.164,0.017999999999999995
1,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,4,4,time_compress,size_compress,160.0,20.0,140.0,36.7,123.3,5.2,31.5,14.8,108.5,0.26,0.22400000000000003,0.74,0.776,0.173,0.827,0.121,0.8789999999999999,0.18777777777777777,0.037
2,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,5,5,time_compress,size_compress,160.0,20.0,140.0,31.4,128.6,4.2,27.2,15.8,112.8,0.21000000000000002,0.194,0.79,0.806,0.11299999999999999,0.8869999999999999,0.12,0.8800000000000001,0.17375,0.006000000000000001
3,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,6,6,time_compress,size_compress,160.0,20.0,140.0,33.8,126.2,4.8,29.0,15.2,111.0,0.24,0.209,0.76,0.791,0.127,0.873,0.11599999999999999,0.884,0.17444444444444446,0.019999999999999997
4,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,7,7,time_compress,size_compress,160.0,20.0,140.0,30.6,129.4,5.2,25.4,14.8,114.6,0.26,0.181,0.74,0.819,0.20400000000000001,0.796,0.11599999999999999,0.884,0.21200000000000002,0.082
5,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,8,8,time_compress,size_compress,160.0,20.0,140.0,31.3,128.7,4.8,26.5,15.2,113.5,0.24,0.19,0.76,0.8099999999999999,0.13,0.8699999999999999,0.119,0.881,0.20500000000000002,0.034999999999999996
6,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,9,9,time_compress,size_compress,160.0,20.0,140.0,33.1,126.9,3.7,29.4,16.3,110.6,0.185,0.21000000000000002,0.8150000000000001,0.79,0.121,0.8789999999999999,0.129,0.8710000000000001,0.131,-0.015
7,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,10,10,time_compress,size_compress,160.0,20.0,140.0,49.6,110.4,6.9,42.7,13.1,97.3,0.34500000000000003,0.305,0.655,0.6950000000000001,0.137,0.8630000000000001,0.118,0.882,0.194,0.027000000000000003
8,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,11,11,time_compress,size_compress,160.0,20.0,140.0,33.0,127.0,3.6,29.4,16.4,110.6,0.18,0.21000000000000002,0.82,0.79,0.099,0.901,0.129,0.8710000000000001,0.155,-0.028000000000000004
9,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,12,12,time_compress,size_compress,160.0,20.0,140.0,29.1,130.9,4.0,25.1,16.0,114.9,0.2,0.179,0.8,0.8210000000000001,0.155,0.845,0.123,0.877,0.16699999999999998,0.026000000000000002
10,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,13,13,time_compress,size_compress,160.0,20.0,140.0,27.7,132.3,3.4,24.3,16.6,115.7,0.16999999999999998,0.172,0.8300000000000001,0.828,0.11599999999999999,0.884,0.125,0.875,0.132,-0.006999999999999999
11,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,14,14,time_compress,size_compress,160.0,20.0,140.0,26.4,133.6,3.2,23.2,16.8,116.8,0.16,0.164,0.8400000000000001,0.836,0.13,0.8699999999999999,0.127,0.873,0.13799999999999998,0.0
12,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,15,15,time_compress,size_compress,160.0,20.0,140.0,34.7,125.3,5.7,29.0,14.3,111.0,0.28500000000000003,0.20800000000000002,0.7150000000000001,0.792,0.16,0.8400000000000001,0.11299999999999999,0.8870000000000001,0.199,0.06
13,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,16,16,time_compress,size_compress,160.0,20.0,140.0,38.2,121.8,5.9,32.3,14.1,107.7,0.29500000000000004,0.231,0.705,0.7689999999999999,0.154,0.8460000000000001,0.11499999999999999,0.885,0.196,0.049
14,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,17,17,time_compress,size_compress,160.0,20.0,140.0,32.7,127.3,5.1,27.6,14.9,112.4,0.255,0.197,0.745,0.8029999999999999,0.165,0.835,0.11699999999999999,0.883,0.195,0.052000000000000005
15,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,18,18,time_compress,size_compress,160.0,20.0,140.0,29.3,130.7,5.4,23.9,14.6,116.1,0.27,0.16999999999999998,0.73,0.8300000000000001,0.192,0.808,0.11100000000000002,0.889,0.215,0.088
16,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,19,19,time_compress,size_compress,160.0,20.0,140.0,26.9,133.1,5.6,21.3,14.4,118.7,0.27999999999999997,0.152,0.72,0.8480000000000001,0.211,0.789,0.10800000000000001,0.892,0.23700000000000002,0.11400000000000002
17,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,20,20,time_compress,size_compress,160.0,20.0,140.0,37.2,122.8,5.4,31.8,14.6,108.2,0.27,0.227,0.73,0.773,0.146,0.8539999999999999,0.119,0.881,0.186,0.033
18,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,21,21,time_compress,size_compress,160.0,20.0,140.0,30.9,129.1,5.0,25.9,15.0,114.1,0.25,0.183,0.75,0.817,0.147,0.853,0.11400000000000002,0.8859999999999999,0.19666666666666666,0.047
19,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,22,22,time_compress,size_compress,160.0,20.0,140.0,28.0,132.0,4.5,23.5,15.5,116.5,0.225,0.16799999999999998,0.775,0.8320000000000001,0.157,0.843,0.11599999999999999,0.884,0.18,0.047
20,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,23,23,time_compress,size_compress,160.0,20.0,140.0,37.2,122.8,6.3,30.9,13.7,109.1,0.315,0.22199999999999998,0.6849999999999999,0.778,0.174,0.826,0.11200000000000002,0.8880000000000001,0.22000000000000003,0.076
21,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,24,24,time_compress,size_compress,160.0,20.0,140.0,40.0,120.0,7.1,32.9,12.9,107.1,0.355,0.23500000000000001,0.645,0.765,0.173,0.827,0.10700000000000001,0.893,0.233,0.09
22,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,25,25,time_compress,size_compress,160.0,20.0,140.0,30.0,130.0,5.2,24.8,14.8,115.2,0.26,0.178,0.74,0.8220000000000001,0.175,0.825,0.11399999999999999,0.8859999999999999,0.20500000000000002,0.069
23,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,26,26,time_compress,size_compress,160.0,20.0,140.0,34.6,125.4,5.0,29.6,15.0,110.4,0.25,0.21200000000000002,0.75,0.788,0.15,0.85,0.119,0.881,0.181,0.032999999999999995
24,benchmark/targets/text/enwik9_10,BasicA1-japaneast,StandardF2sv2-westus2,tree,linear,27,27,time_compress,size_compress,160.0,20.0,140.0,41.7,118.3,6.4,35.3,13.6,104.7,0.32,0.251,0.6799999999999999,0.749,0.159,0.841,0.11499999999999999,0.885,0.207,0.054000000000000006
